date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:06:59	67/67	---MCZ	200	added ('OK')	text/plain	etag:%2247-5cbe7820d32e0-gzip%22	https://sknups.com/robots.txt		(from )
01:07:00	192439/192439	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202022%2020:07:00%20GMT	https://sknups.com/	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/index.html	(from )
01:07:00	1370/1370	---M--	200	added ('OK')	image/png	etag:%2255a-5c9c1ccbec06b%22	https://sknups.com/wp-content/uploads/2021/08/s-64x64-1.png	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/uploads/2021/08/s-64x64-1.png	(from https://sknups.com/)
01:07:00	1036/1036	---MCZ	200	added ('OK')	application/rss+xml	etag:%2207e932eb15b865c8868be9c314f41194%22	https://sknups.com/feed/	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/feed/index.html	(from https://sknups.com/)
01:07:00	728/728	---MCZ	200	added ('OK')	application/rss+xml	date:Wed,%2027%20Jul%202022%2017:07:08%20GMT	https://sknups.com/comments/feed/	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/comments/feed/index.html	(from https://sknups.com/)
01:07:01	3851/3851	---M--	200	added ('OK')	image/png	etag:%22f0b-5e169308ee935%22	https://sknups.com/wp-content/uploads/2022/06/cropped-SKNUPS_FAVICON-180px.png	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/uploads/2022/06/cropped-SKNUPS_FAVICON-180px.png	(from https://sknups.com/)
01:07:01	2590/2590	---M--	200	added ('OK')	image/png	etag:%22a1e-5c9c1cc6e6c90%22	https://sknups.com/wp-content/uploads/2021/08/s-120x120-1.png	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/uploads/2021/08/s-120x120-1.png	(from https://sknups.com/)
01:07:01	23044/23044	---M-Z	200	added ('OK')	text/css	etag:%225a04-5dc9ef0526ebb-gzip%22	https://sknups.com/wp-content/plugins/mailchimp//css/flick/flick.css?ver=6.0.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/plugins/mailchimp/css/flick/flick37ad.css	(from https://sknups.com/)
01:07:02	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e3a388686ed3-gzip%22	https://sknups.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-includes/css/dist/block-library/style.min37ad.css	(from https://sknups.com/)
01:07:02	1480/1480	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Jul%202022%2020:07:02%20GMT	https://sknups.com/?mcsf_action=main_css&ver=6.0.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/index3bb8.html	(from https://sknups.com/)
01:07:02	3106/3106	---M-Z	200	added ('OK')	text/css	etag:%22c22-5df1dcc5cad4b-gzip%22	https://sknups.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-public.css?ver=2.1.2	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-public431f.css	(from https://sknups.com/)
01:07:03	27249/27249	---M-Z	200	added ('OK')	text/css	etag:%226a71-5df1dcc5cad4b-gzip%22	https://sknups.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpr.css?ver=2.1.2	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpr431f.css	(from https://sknups.com/)
01:07:03	51578/51578	---M-Z	200	added ('OK')	text/css	etag:%22c97a-5c9c2577cb747-gzip%22	https://sknups.com/wp-content/plugins/essential-gridv1-4/public/assets/css/settings.css?ver=3.0.13	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/plugins/essential-gridv1-4/public/assets/css/settings2a45.css	(from https://sknups.com/)
01:07:03	12663/12663	---M-Z	200	added ('OK')	text/css	etag:%223177-5c9c2577c9806-gzip%22	https://sknups.com/wp-content/plugins/essential-gridv1-4/public/assets/font/fontello/css/fontello.css?ver=3.0.13	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/plugins/essential-gridv1-4/public/assets/font/fontello/css/fontello2a45.css	(from https://sknups.com/)
01:07:04	985684/985684	---MCZ	200	added ('OK')	text/css	etag:%22f0a54-5e4cbf73ef8bc-gzip%22	https://sknups.com/wp-content/uploads/fusion-styles/f003aa6f39b783ef284d0fcdc7e5b9ff.min.css?ver=3.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/uploads/fusion-styles/f003aa6f39b783ef284d0fcdc7e5b9ff.minf43b.css	(from https://sknups.com/)
01:07:04	1021/1021	---M-Z	200	added ('OK')	text/css	etag:%223fd-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-1c.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-1c.minf66a.css	(from https://sknups.com/)
01:07:05	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%225c4-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-2c.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-2c.minf66a.css	(from https://sknups.com/)
01:07:05	1950/1950	---M-Z	200	added ('OK')	text/css	etag:%2279e-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-2c-max-3c.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-2c-max-3c.minf66a.css	(from https://sknups.com/)
01:07:05	1809/1809	---M-Z	200	added ('OK')	text/css	etag:%22711-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-3c-max-4c.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-3c-max-4c.minf66a.css	(from https://sknups.com/)
01:07:06	1367/1367	---M-Z	200	added ('OK')	text/css	etag:%22557-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-4c-max-5c.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-4c-max-5c.minf66a.css	(from https://sknups.com/)
01:07:06	918/918	---M-Z	200	added ('OK')	text/css	etag:%22396-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-5c-max-6c.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-5c-max-6c.minf66a.css	(from https://sknups.com/)
01:07:07	48/48	---M--	200	added ('OK')	text/css	etag:%2230-5ddb72f90db0f%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-shbp.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-shbp.minf66a.css	(from https://sknups.com/)
01:07:07	4106/4106	---M-Z	200	added ('OK')	text/css	etag:%22100a-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-shbp-header-legacy.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-shbp-header-legacy.minf66a.css	(from https://sknups.com/)
01:07:07	144/144	---M-Z	200	added ('OK')	text/css	etag:%2290-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-shbp.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-shbp.minf66a.css	(from https://sknups.com/)
01:07:08	7883/7883	---M-Z	200	added ('OK')	text/css	etag:%221ecb-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-shbp-header-legacy.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-shbp-header-legacy.minf66a.css	(from https://sknups.com/)
01:07:08	112/112	---M-Z	200	added ('OK')	text/css	etag:%2270-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-shbp.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-shbp.minf66a.css	(from https://sknups.com/)
01:07:08	23663/23663	---M-Z	200	added ('OK')	text/css	etag:%225c6f-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-shbp-header-legacy.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-shbp-header-legacy.minf66a.css	(from https://sknups.com/)
01:07:09	11941/11941	---M-Z	200	added ('OK')	text/css	etag:%222ea5-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-768-max-1024-p.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-768-max-1024-p.minf66a.css	(from https://sknups.com/)
01:07:09	1584/1584	---M-Z	200	added ('OK')	text/css	etag:%22630-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-768-max-1024-p-header-legacy.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-768-max-1024-p-header-legacy.minf66a.css	(from https://sknups.com/)
01:07:10	379/379	---M-Z	200	added ('OK')	text/css	etag:%2217b-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-768-max-1024-l.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-768-max-1024-l.minf66a.css	(from https://sknups.com/)
01:07:10	883/883	---M-Z	200	added ('OK')	text/css	etag:%22373-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-768-max-1024-l-header-legacy.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-768-max-1024-l-header-legacy.minf66a.css	(from https://sknups.com/)
01:07:10	8114/8114	---M-Z	200	added ('OK')	text/css	etag:%221fb2-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-cbp.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-cbp.minf66a.css	(from https://sknups.com/)
01:07:11	186/186	---M-Z	200	added ('OK')	text/css	etag:%22ba-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-sbp.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-sbp.minf66a.css	(from https://sknups.com/)
01:07:11	2331/2331	---M-Z	200	added ('OK')	text/css	etag:%2291b-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-640.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-sh-640.minf66a.css	(from https://sknups.com/)
01:07:11	286/286	---M-Z	200	added ('OK')	text/css	etag:%2211e-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-shbp-18.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-shbp-18.minf66a.css	(from https://sknups.com/)
01:07:12	62/62	---M--	200	added ('OK')	text/css	etag:%223e-5ddb72f90db0f%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-shbp-32.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-shbp-32.minf66a.css	(from https://sknups.com/)
01:07:12	1036/1036	---M-Z	200	added ('OK')	text/css	etag:%2240c-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/min-sh-cbp.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/min-sh-cbp.minf66a.css	(from https://sknups.com/)
01:07:13	2933/2933	---M-Z	200	added ('OK')	text/css	etag:%22b75-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-640.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-640.minf66a.css	(from https://sknups.com/)
01:07:13	583/583	---M-Z	200	added ('OK')	text/css	etag:%22247-5ddb72f90cb6e-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-main.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-main.minf66a.css	(from https://sknups.com/)
01:07:13	96/96	---M-Z	200	added ('OK')	text/css	etag:%2260-5ddb72f90db0f-gzip%22	https://sknups.com/wp-content/themes/Avada/assets/css/media/max-cbp.min.css?ver=7.7.1	C:/Users/hp/Desktop/New%20folder/sknups/sknups.com/wp-content/themes/Avada/assets/css/media/max-cbp.minf66a.css	(from https://sknups.com/)
